Party,Party.1,Candidate,Votes,%,Â±
,Democratic,Bob Menendez (incumbent),1711654,54.01%,-4.86%
,Republican,Bob Hugin,1357355,42.83%,+3.46%
,Green,Madelyn Hoffman,25150,0.79%,+0.32%
,Libertarian,Murray Sabrin,21212,0.67%,+0.17%
,Independent,Natalie Rivera,19897,0.63%,
,Independent,Tricia Flanagan,16101,0.51%,
,Independent,Kevin Kimple,9087,0.29%,
,Independent,Hank Schroeder,8854,0.28%,
Total votes,Total votes,Total votes,3169310,100%,
,Democratic hold,Democratic hold,Democratic hold,Democratic hold,Democratic hold
