2016 U.S. presidential election in California[2],2016 U.S. presidential election in California[2],2016 U.S. presidential election in California[2],2016 U.S. presidential election in California[2],2016 U.S. presidential election in California[2],2016 U.S. presidential election in California[2],2016 U.S. presidential election in California[2],2016 U.S. presidential election in California[2]
Party,Presidential candidate,Popular Vote,Popular Vote,Electoral Vote,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1
Party,Presidential candidate,Count,Percentage,Electoral Vote,Unnamed: 5_level_2,Unnamed: 6_level_2,Unnamed: 7_level_2
Democratic,Hillary Clinton,8753788,61.73%,55,,,
Republican/American Independent,Donald Trump,4483810,31.62%,0,,,
Libertarian,Gary Johnson,478500,3.37%,0,,,
Green,Jill Stein,278657,1.97%,0,,,
Independent,Bernie Sanders (write-in),79341,0.56%,0,,,
Socialism and Liberation,Gloria La Riva,66101,0.47%,0,,,
Independent,Evan McMullin (write-in),39596,0.28%,0,,,
Solidarity,Mike Maturen (write-in),1316,0.01%,0,,,
Independent,Jerry White (write-in),84,0.00%,0,,,
Date,"November 8, 2016",Total voters,"Registered: 19,411,771 Eligible: 24,875,293","Registered: 19,411,771 Eligible: 24,875,293",,,
TurnoutÂ %,Registered: 75.27% VAP: 58.74%,Turnout Votes,"Valid Votes: 14,181,585 Invalid Votes: 428,924","Valid Votes: 14,181,585 Invalid Votes: 428,924",,,
