COUNTY OR INDEPENDENT CITY,HILLARY,HILLARY,DONALD,DONALD,GARY,GARY,DAVID EVAN MCMULLIN[21]INDEPENDENT,DAVID EVAN MCMULLIN[21]INDEPENDENT.1,JILL,JILL,VARIOUS CANDIDATES[21]WRITE-INS,VARIOUS CANDIDATES[21]WRITE-INS.1,MARGIN,MARGIN.1,TOTAL VOTES CAST
COUNTY OR INDEPENDENT CITY,#,%,#,%,#,%,#,%,#,%,#,%,#,%,TOTAL VOTES CAST
ACCOMACK,6740,42.61%,8583,54.26%,264,1.67%,112,0.71%,66,0.42%,53,0.34%,"−1,843",−11.65%,15818
ALBEMARLE,33345,58.78%,19259,33.95%,2105,3.71%,1059,1.87%,450,0.79%,508,0.90%,14086,24.83%,56726
ALLEGHANY,2166,29.57%,4874,66.54%,164,2.24%,69,0.94%,35,0.48%,17,0.23%,"−2,708",−36.97%,7325
AMELIA,2128,30.23%,4708,66.88%,129,1.83%,41,0.58%,11,0.16%,23,0.33%,"−2,580",−36.65%,7040
AMHERST,5057,32.85%,9719,63.13%,317,2.06%,159,1.03%,65,0.42%,79,0.51%,"−4,662",−30.28%,15396
APPOMATTOX,2023,25.25%,5715,71.34%,136,1.70%,50,0.62%,31,0.39%,56,0.70%,"−3,692",−46.09%,8011
ARLINGTON,92016,75.82%,20186,16.63%,3827,3.15%,2594,2.14%,819,0.67%,1914,1.58%,71830,59.19%,121356
AUGUSTA,8177,22.50%,26163,71.99%,1099,3.02%,502,1.38%,200,0.55%,202,0.56%,"−17,986",−49.49%,36343
BATH,603,26.76%,1548,68.71%,56,2.49%,22,0.98%,15,0.67%,9,0.40%,−945,−41.94%,2253
BEDFORD,9768,22.97%,30659,72.10%,1074,2.53%,627,1.47%,176,0.41%,221,0.52%,"−20,891",−49.13%,42525
BLAND,453,14.43%,2573,81.97%,61,1.94%,21,0.67%,17,0.54%,14,0.45%,"−2,120",−67.54%,3139
BOTETOURT,4494,23.98%,13375,71.38%,497,2.65%,185,0.99%,101,0.54%,87,0.46%,"−8,881",−47.39%,18739
BRUNSWICK,4481,58.43%,3046,39.72%,72,0.94%,30,0.39%,25,0.33%,15,0.20%,1435,18.71%,7669
BUCHANAN,1721,18.61%,7296,78.90%,122,1.32%,59,0.64%,24,0.26%,25,0.27%,"−5,575",−60.29%,9247
BUCKINGHAM,3128,42.88%,3950,54.15%,102,1.40%,58,0.80%,27,0.37%,30,0.41%,−822,−11.27%,7295
CAMPBELL,6664,24.20%,19551,71.00%,665,2.42%,419,1.52%,102,0.37%,134,0.49%,"−12,887",−46.80%,27535
CAROLINE,6432,43.28%,7147,48.09%,368,2.48%,154,1.04%,99,0.67%,663,4.46%,−715,−4.81%,14863
CARROLL,2559,18.72%,10663,78.01%,220,1.61%,88,0.64%,69,0.50%,69,0.50%,"−8,104",−59.29%,13668
CHARLES CITY,2496,60.77%,1476,35.94%,67,1.63%,39,0.95%,15,0.37%,14,0.34%,1020,24.84%,4107
CHARLOTTE,2155,37.10%,3479,59.90%,111,1.91%,38,0.65%,11,0.19%,14,0.24%,"−1,324",−22.80%,5808
CHESTERFIELD,81074,45.94%,85045,48.19%,6247,3.54%,2004,1.14%,990,0.56%,1101,0.62%,"−3,971",−2.25%,176461
CLARKE,3051,37.15%,4661,56.75%,261,3.18%,111,1.35%,55,0.67%,74,0.90%,"−1,610",−19.60%,8213
CRAIG,541,19.36%,2140,76.59%,54,1.93%,30,1.07%,20,0.72%,9,0.32%,"−1,599",−57.23%,2794
CULPEPER,7759,34.92%,13349,60.08%,584,2.63%,242,1.09%,176,0.79%,108,0.49%,"−5,590",−25.16%,22218
CUMBERLAND,2036,41.50%,2697,54.97%,95,1.94%,32,0.65%,24,0.49%,22,0.45%,−661,−13.47%,4906
DICKENSON,1335,20.73%,4932,76.58%,81,1.26%,43,0.67%,14,0.22%,35,0.54%,"−3,597",−55.85%,6440
DINWIDDIE,5765,42.47%,7447,54.86%,196,1.44%,79,0.58%,46,0.34%,42,0.31%,"−1,682",−12.39%,13575
ESSEX,2542,47.00%,2657,49.13%,113,2.09%,25,0.46%,18,0.33%,53,0.98%,−115,−2.13%,5408
FAIRFAX,355133,64.43%,157710,28.61%,15664,2.84%,10369,1.88%,4477,0.81%,7830,1.42%,197423,35.82%,551183
FAUQUIER,12971,34.62%,22127,59.06%,1191,3.18%,597,1.59%,267,0.71%,314,0.84%,"−9,156",−24.44%,37467
FLOYD,2300,28.57%,5293,65.74%,185,2.30%,91,1.13%,107,1.33%,75,0.93%,"−2,993",−37.18%,8051
FLUVANNA,5760,42.36%,7025,51.67%,425,3.13%,218,1.60%,80,0.59%,89,0.65%,"−1,265",−9.30%,13597
FRANKLIN,7257,26.91%,18569,68.85%,602,2.23%,274,1.02%,115,0.43%,154,0.57%,"−11,312",−41.94%,26971
FREDERICK,11932,29.51%,26083,64.50%,1280,3.17%,543,1.34%,325,0.80%,277,0.68%,"−14,151",−34.99%,40440
GILES,1950,23.75%,5910,71.98%,201,2.45%,77,0.94%,39,0.47%,34,0.41%,"−3,960",−48.23%,8211
GLOUCESTER,5404,27.54%,13096,66.75%,693,3.53%,213,1.09%,134,0.68%,79,0.40%,"−7,692",−39.21%,19619
GOOCHLAND,4889,34.83%,8384,59.73%,474,3.38%,145,1.03%,54,0.38%,91,0.65%,"−3,495",−24.90%,14037
GRAYSON,1407,19.31%,5592,76.76%,110,1.51%,93,1.28%,55,0.75%,28,0.38%,"−4,185",−57.45%,7285
GREENE,2924,30.43%,5945,61.88%,406,4.23%,167,1.74%,66,0.69%,100,1.04%,"−3,021",−31.44%,9608
GREENSVILLE,2558,58.63%,1737,39.81%,50,1.15%,12,0.28%,0,0.00%,6,0.14%,821,18.82%,4363
HALIFAX,6897,40.57%,9704,57.08%,237,1.39%,77,0.45%,44,0.26%,42,0.25%,"−2,807",−16.51%,17001
HANOVER,19382,30.89%,39630,63.15%,2310,3.68%,741,1.18%,314,0.50%,376,0.60%,"−20,248",−32.27%,62753
HENRICO,93935,57.40%,59857,36.58%,5657,3.46%,1997,1.22%,1081,0.66%,1127,0.69%,34078,20.82%,163654
HENRY,8198,34.01%,15208,63.09%,378,1.57%,147,0.61%,98,0.41%,77,0.32%,"−7,010",−29.08%,24106
HIGHLAND,371,26.67%,958,68.87%,33,2.37%,21,1.51%,0,0.00%,8,0.58%,−587,−42.20%,1391
ISLE OF WIGHT,7881,37.40%,12204,57.91%,589,2.79%,207,0.98%,81,0.38%,113,0.54%,"−4,323",−20.51%,21075
JAMES CITY,19105,44.62%,21306,49.77%,1395,3.26%,686,1.60%,281,0.66%,40,0.09%,"−2,201",−5.14%,42813
KING AND QUEEN,1468,39.71%,2099,56.78%,75,2.03%,13,0.35%,18,0.49%,24,0.65%,−631,−17.07%,3697
KING GEORGE,4007,33.23%,7341,60.88%,367,3.04%,177,1.47%,83,0.69%,84,0.70%,"−3,334",−27.65%,12059
KING WILLIAM,2760,30.13%,5975,65.22%,261,2.85%,71,0.78%,44,0.48%,50,0.55%,"−3,215",−35.09%,9161
LANCASTER,2869,43.18%,3523,53.02%,141,2.12%,41,0.62%,35,0.53%,36,0.54%,−654,−9.84%,6645
LEE,1627,17.31%,7543,80.25%,106,1.13%,45,0.48%,33,0.35%,45,0.48%,"−5,916",−62.94%,9399
LOUDOUN,100795,55.05%,69949,38.20%,5674,3.10%,3413,1.86%,1316,0.72%,1950,1.07%,30846,16.85%,183097
LOUISA,6212,35.23%,10528,59.71%,505,2.86%,163,0.92%,124,0.70%,99,0.56%,"−4,316",−24.48%,17631
LUNENBURG,2227,39.87%,3204,57.36%,88,1.58%,32,0.57%,25,0.45%,10,0.18%,−977,−17.49%,5586
MADISON,2203,31.57%,4419,63.32%,184,2.64%,87,1.25%,43,0.62%,43,0.62%,"−2,216",−31.75%,6979
MATHEWS,1563,29.43%,3517,66.22%,147,2.77%,36,0.68%,31,0.58%,17,0.32%,"−1,954",−36.79%,5311
MECKLENBURG,6285,42.05%,8288,55.46%,239,1.60%,54,0.36%,30,0.20%,49,0.33%,"−2,003",−13.40%,14945
MIDDLESEX,2108,35.03%,3670,60.99%,140,2.33%,50,0.83%,33,0.55%,16,0.27%,"−1,562",−25.96%,6017
MONTGOMERY,20021,46.53%,19459,45.22%,2026,4.71%,798,1.85%,401,0.93%,326,0.76%,562,1.31%,43031
NELSON,3689,44.35%,4154,49.94%,244,2.93%,95,1.14%,81,0.97%,55,0.66%,−465,−5.59%,8318
NEW KENT,3546,28.97%,8118,66.31%,348,2.84%,102,0.83%,52,0.42%,76,0.62%,"−4,572",−37.35%,12242
NORTHAMPTON,3255,52.74%,2686,43.52%,116,1.88%,37,0.60%,40,0.65%,38,0.62%,569,9.22%,6172
NORTHUMBERLAND,2852,38.55%,4302,58.15%,136,1.84%,51,0.69%,21,0.28%,36,0.49%,"−1,450",−19.60%,7398
NOTTOWAY,2829,41.95%,3712,55.04%,116,1.72%,35,0.52%,25,0.37%,27,0.40%,−883,−13.09%,6744
ORANGE,5957,34.39%,10521,60.74%,399,2.30%,178,1.03%,166,0.96%,99,0.57%,"−4,564",−26.35%,17320
PAGE,2514,23.41%,7831,72.91%,198,1.84%,89,0.83%,38,0.35%,70,0.65%,"−5,317",−49.51%,10740
PATRICK,1768,20.74%,6454,75.71%,147,1.72%,71,0.83%,49,0.57%,36,0.42%,"−4,686",−54.97%,8525
PITTSYLVANIA,9199,29.11%,21554,68.21%,442,1.40%,202,0.64%,106,0.34%,95,0.30%,"−12,355",−39.10%,31598
POWHATAN,4060,24.03%,11885,70.33%,639,3.78%,150,0.89%,73,0.43%,92,0.54%,"−7,825",−46.30%,16899
PRINCE EDWARD,4591,50.21%,4101,44.85%,286,3.13%,85,0.93%,53,0.58%,27,0.30%,490,5.36%,9143
PRINCE GEORGE,6419,39.66%,9157,56.58%,374,2.31%,120,0.74%,70,0.43%,44,0.27%,"−2,738",−16.92%,16184
PRINCE WILLIAM,113144,57.57%,71721,36.49%,5374,2.73%,2995,1.52%,1497,0.76%,1807,0.92%,41423,21.08%,196538
PULASKI,4172,27.51%,10322,68.06%,351,2.31%,171,1.13%,107,0.71%,44,0.29%,"−6,150",−40.55%,15167
RAPPAHANNOCK,1747,38.97%,2539,56.64%,93,2.07%,42,0.94%,36,0.80%,26,0.58%,−792,−17.67%,4483
RICHMOND,1347,36.79%,2213,60.45%,57,1.56%,21,0.57%,13,0.36%,10,0.27%,−866,−23.65%,3661
ROANOKE,17200,33.41%,31408,61.00%,1620,3.15%,678,1.32%,286,0.56%,297,0.58%,"−14,208",−27.59%,51489
ROCKBRIDGE COUNTY,3508,32.50%,6680,61.88%,271,2.51%,171,1.58%,66,0.61%,99,0.92%,"−3,172",−29.38%,10795
ROCKINGHAM,9366,24.98%,25990,69.33%,1088,2.90%,610,1.63%,208,0.55%,225,0.60%,"−16,624",−44.35%,37487
RUSSELL,2330,19.03%,9521,77.75%,190,1.55%,104,0.85%,58,0.47%,43,0.35%,"−7,191",−58.72%,12246
SCOTT,1581,15.65%,8247,81.65%,142,1.41%,53,0.52%,39,0.39%,38,0.38%,"−6,666",−66.00%,10100
SHENANDOAH,5273,25.71%,14094,68.71%,556,2.71%,286,1.39%,149,0.73%,155,0.76%,"−8,821",−43.00%,20513
SMYTH,2665,20.67%,9750,75.64%,258,2.00%,113,0.88%,53,0.41%,51,0.40%,"−7,085",−54.97%,12890
SOUTHAMPTON,3595,40.49%,5035,56.71%,156,1.76%,62,0.70%,24,0.27%,6,0.07%,"−1,440",−16.22%,8878
SPOTSYLVANIA,24207,38.69%,34623,55.34%,1910,3.05%,900,1.44%,450,0.72%,472,0.75%,"−10,416",−16.65%,62562
STAFFORD,27908,42.33%,33868,51.37%,2140,3.25%,1006,1.53%,488,0.74%,524,0.79%,"−5,960",−9.04%,65934
SURRY,2272,53.74%,1819,43.02%,81,1.92%,29,0.69%,17,0.40%,10,0.24%,453,10.71%,4228
SUSSEX,2879,57.08%,2055,40.74%,63,1.25%,22,0.44%,22,0.44%,3,0.06%,824,16.34%,5044
TAZEWELL,2895,15.59%,15168,81.70%,260,1.40%,127,0.68%,53,0.29%,63,0.34%,"−12,273",−66.10%,18566
WARREN,5169,28.78%,11773,65.55%,495,2.76%,222,1.24%,149,0.83%,152,0.85%,"−6,604",−36.77%,17960
WASHINGTON,5553,21.48%,19320,74.75%,537,2.08%,229,0.89%,93,0.36%,115,0.44%,"−13,767",−53.26%,25847
WESTMORELAND,3836,44.74%,4448,51.88%,157,1.83%,50,0.58%,40,0.47%,43,0.50%,−612,−7.14%,8574
WISE,2701,17.81%,12086,79.71%,182,1.20%,65,0.43%,77,0.51%,52,0.34%,"−9,385",−61.89%,15163
WYTHE,2770,20.76%,10046,75.29%,285,2.14%,107,0.80%,49,0.37%,86,0.64%,"−7,276",−54.53%,13343
YORK,12999,38.10%,18837,55.21%,1186,3.48%,549,1.61%,252,0.74%,295,0.86%,"−5,838",−17.11%,34118
ALEXANDRIA,57242,76.82%,13286,17.83%,2020,2.71%,139,0.19%,592,0.79%,1233,1.65%,43956,58.99%,74512
BRISTOL,1835,26.09%,4892,69.57%,136,1.93%,64,0.91%,50,0.71%,55,0.78%,"−3,057",−43.47%,7032
BUENA VISTA,693,28.79%,1430,59.41%,83,3.45%,174,7.23%,13,0.54%,14,0.58%,−737,−30.62%,2407
CHARLOTTESVILLE,17901,79.66%,2960,13.17%,785,3.49%,383,1.70%,230,1.02%,213,0.95%,14941,66.49%,22472
CHESAPEAKE,52607,46.69%,54047,47.96%,3458,3.07%,1146,1.02%,698,0.62%,729,0.65%,"−1,440",−1.28%,112685
COLONIAL HEIGHTS,2367,27.99%,5681,67.18%,247,2.92%,88,1.04%,44,0.52%,30,0.35%,"−3,314",−39.19%,8457
COVINGTON,914,38.37%,1349,56.63%,73,3.06%,25,1.05%,8,0.34%,13,0.55%,−435,−18.26%,2382
DANVILLE,11059,58.35%,7303,38.53%,315,1.66%,117,0.62%,73,0.39%,85,0.45%,3756,19.82%,18952
EMPORIA,1530,64.64%,789,33.33%,26,1.10%,8,0.34%,10,0.42%,4,0.17%,741,31.31%,2367
FAIRFAX,7367,61.24%,3702,30.77%,427,3.55%,263,2.19%,107,0.89%,164,1.36%,3665,30.47%,12030
FALLS CHURCH,5819,75.02%,1324,17.07%,237,3.06%,228,2.94%,70,0.90%,79,1.02%,4495,57.95%,7757
FRANKLIN,2519,61.89%,1421,34.91%,72,1.77%,15,0.37%,16,0.39%,27,0.66%,1098,26.98%,4070
FREDERICKSBURG,6707,59.54%,3744,33.24%,389,3.45%,189,1.68%,137,1.22%,98,0.87%,2963,26.31%,11264
GALAX,681,28.66%,1603,67.47%,45,1.89%,28,1.18%,7,0.29%,12,0.51%,−922,−38.80%,2376
HAMPTON,41312,66.25%,17902,28.71%,1658,2.66%,551,0.88%,474,0.76%,459,0.74%,23410,37.54%,62356
HARRISONBURG,10212,56.85%,6232,34.69%,810,4.51%,310,1.73%,255,1.42%,144,0.80%,3980,22.16%,17963
HOPEWELL,4724,52.44%,3885,43.13%,212,2.35%,91,1.01%,58,0.64%,38,0.42%,839,9.31%,9008
LEXINGTON,1514,61.42%,766,31.08%,92,3.73%,56,2.27%,20,0.81%,17,0.69%,748,30.34%,2465
LYNCHBURG,14792,41.47%,17982,50.41%,1379,3.87%,998,2.80%,208,0.58%,312,0.87%,"−3,190",−8.94%,35671
MANASSAS,8423,54.66%,5953,38.63%,488,3.17%,246,1.60%,147,0.95%,154,1.00%,2470,16.03%,15411
MANASSAS PARK,3204,61.24%,1733,33.12%,162,3.10%,57,1.09%,45,0.86%,31,0.59%,1471,28.12%,5232
MARTINSVILLE,3533,59.81%,2149,36.38%,114,1.93%,51,0.86%,29,0.49%,31,0.52%,1384,23.43%,5907
NEWPORT NEWS,45618,60.25%,25468,33.64%,2531,3.34%,931,1.23%,591,0.78%,576,0.76%,20150,26.61%,75715
NORFOLK,57023,68.38%,21552,25.85%,2717,3.26%,761,0.91%,797,0.96%,538,0.65%,35471,42.54%,83388
NORTON,383,26.23%,1021,69.93%,24,1.64%,22,1.51%,6,0.41%,4,0.27%,−638,−43.70%,1460
PETERSBURG,12021,87.20%,1451,10.53%,139,1.01%,58,0.42%,67,0.49%,50,0.36%,10570,76.67%,13786
POQUOSON,1601,22.31%,5092,70.95%,307,4.28%,76,1.06%,43,0.60%,58,0.81%,"−3,491",−48.64%,7177
PORTSMOUTH,28497,65.87%,12795,29.57%,1096,2.53%,331,0.77%,323,0.75%,223,0.52%,15702,36.29%,43265
RADFORD,2925,48.07%,2638,43.35%,301,4.95%,113,1.86%,58,0.95%,50,0.82%,287,4.72%,6085
RICHMOND,81259,78.52%,15581,15.06%,3617,3.50%,1124,1.09%,1134,1.10%,769,0.74%,65678,63.47%,103484
ROANOKE,22286,56.47%,14789,37.47%,1316,3.33%,413,1.05%,411,1.04%,251,0.64%,7497,19.00%,39466
SALEM,4202,34.37%,7226,59.11%,442,3.62%,158,1.29%,92,0.75%,105,0.86%,"−3,024",−24.74%,12225
STAUNTON,5333,47.38%,5133,45.61%,419,3.72%,159,1.41%,109,0.97%,102,0.91%,200,1.78%,11255
SUFFOLK,23280,53.84%,18006,41.64%,1098,2.54%,436,1.01%,223,0.52%,197,0.46%,5274,12.20%,43240
VIRGINIA BEACH,91032,44.79%,98224,48.32%,8255,4.06%,2237,1.10%,1737,0.85%,1777,0.87%,"−7,192",−3.54%,203262
WAYNESBORO,3764,40.90%,4801,52.16%,336,3.65%,145,1.58%,74,0.80%,84,0.91%,"−1,037",−11.27%,9204
WILLIAMSBURG,5206,68.27%,1925,25.24%,231,3.03%,100,1.31%,84,1.10%,80,1.05%,3281,43.02%,7626
WINCHESTER,5164,48.41%,4790,44.90%,400,3.75%,128,1.20%,99,0.93%,86,0.81%,374,3.51%,10667
TOTALS,1981473,49.73%,1769443,44.41%,118274,2.97%,54054,1.36%,27638,0.69%,33749,0.85%,212030,5.32%,3984631
